id	name	north	south	east	west	high	low
1	Albion, Mendocino Co., California, USA	39.2408	39.2153	-123.738	-123.778	100	0
2	Burbank, California, USA	34.22	34.15	-118.29	-118.37	294	148
3	Mitrula Marsh, Tahoe National Forest, Sierra Co., California, USA	39.6272	39.6226	-120.614	-120.62	NULL	NULL
4	Salt Point State Park, Sonoma Co., California, USA	38.5923	38.5584	-123.283	-123.343	100	0
5	Gualala, Mendocino Co., California, USA	38.7868	38.7597	-123.519	-123.557	100	0
6	Elgin Co., Ontario, Canada	42.876	42.4701	-80.8044	-81.8179	NULL	NULL
7	Brett Woods, Fairfield Co., Connecticut, USA	41.2125	41.1939	-73.3215	-73.3295	NULL	NULL
8	Point Reyes National Seashore, Marin Co., California, USA	38.2441	37.9255	-122.709	-123.026	NULL	NULL
9	Howarth Park, Santa Rosa, California, USA	38.4582	38.4496	-122.663	-122.671	NULL	NULL
11	Petaluma, Sonoma Co., California, USA	38.2788	38.2055	-122.581	-122.677	NULL	NULL
12	Buttonwood, south Key Largo, Monroe Co., Florida, USA	25.0667	25.0576	-80.4722	-80.4801	5	0
13	Dove Creek Hammock, south Key Largo, Monroe Co., Florida, USA	25.0388	25.0297	-80.496	-80.5059	5	0
14	Port Bougainvillea, north Key Largo, Monroe Co., Florida, USA	25.1811	25.1735	-80.3614	-80.3662	10	0
15	Indian Key, Florida, USA	24.88	24.8772	-80.6759	-80.6782	5	0
16	Big Pine Key, Monroe Co., Florida, USA	24.7453	24.6368	-81.3282	-81.4013	10	0
17	No Name Key, Monroe Co., Florida, USA	24.7067	24.6739	-81.3117	-81.3432	5	0
18	Moran State Park, San Juan Co., Washington, USA	48.6886	48.6445	-122.792	-122.863	NULL	NULL
19	Clinton, Whidbey Island, Island Co., Washington, USA	47.9975	47.9539	-122.328	-122.369	NULL	NULL
20	Cabin Cove, Haywood Co., North Carolina, USA	35.6627	35.6462	-83.0384	-83.0598	1400	850
21	Novato, Marin Co., California, USA	38.1464	38.039	-122.486	-122.624	NULL	NULL
22	Nags Head, North Carolina, USA	35.9986	35.7755	-75.5338	-75.6773	20	0
23	Whitemarsh, Virginia, USA	37.3472	37.3437	-76.5363	-76.5458	20	0
24	Madison Heights, Pasadena, California, USA	34.1359	34.1277	-118.132	-118.141	270	240
25	Los Trancos Preserve, Palo Alto, California, USA	37.3343	37.326	-122.174	-122.186	670	540
26	South Lake Tahoe, California, USA	38.9363	38.8031	-119.921	-120.138	2290	1920
27	Bassetts, Sierra Co., California, USA	39.6395	39.5925	-120.526	-120.643	2140	1250
28	Mar Vista, Los Angeles, California, USA	34.0285	34.0023	-118.419	-118.449	NULL	NULL
29	Pipi Valley, El Dorado Co., California, USA	38.6428	38.4828	-120.251	-120.471	1920	1280
30	Natural History Museum, Los Angeles, California, USA	34.0173	34.0167	-118.287	-118.29	NULL	NULL
31	Los Feliz, Los Angeles, California, USA	34.1259	34.0986	-118.271	-118.309	NULL	NULL
32	Redwood National Park, Orick, California, USA	41.3873	41.2838	-123.99	-124.074	370	60
33	Venice, Los Angeles, California, USA	34.0068	33.9782	-118.448	-118.49	NULL	NULL
34	Menlo Park, California, USA	37.4694	37.4149	-122.141	-122.228	120	22
35	Griffith Park, Los Angeles, California, USA	34.1556	34.1087	-118.272	-118.327	NULL	NULL
36	Ortega Highway, Cleveland National Forest, California, USA	33.6588	33.6219	-117.374	-117.484	NULL	NULL
37	Culver City Veterans Memorial Hall, Culver City, California, USA	34.0134	34.0126	-118.402	-118.403	NULL	NULL
38	Chumash Interpretive Center, Thousand Oaks, California, USA	34.2133	34.2096	-118.802	-118.817	NULL	NULL
39	Wilder Ridge, Humboldt Co., California, USA	40.1783	40.1664	-124.056	-124.07	NULL	NULL
40	Murphy's Bush, Murphy's Rd., Manukau City, Auckland, New Zealand	-36.9772	-36.982	174.922	174.917	NULL	NULL
41	Mountain View, California, USA	37.4283	37.3587	-122.05	-122.124	40	15
42	Diamond and Crater Lake, Oregon, USA	43.2596	42.7463	-121.94	-122.363	2140	1440
43	Lake Crescent, Olympic National Park, Clallam Co., Washington, USA	48.0617	48.0516	-123.783	-123.803	185	175
44	China Camp State Park, Marin Co., California, USA	38.0133	37.9806	-122.456	-122.506	NULL	NULL
45	near Sterling, Alaska, USA	60.5505	60.4447	-150.092	-150.895	NULL	NULL
46	Anchorage, Alaska, USA	61.2412	61.0257	-149.685	-150.051	NULL	NULL
47	Nairobi, Kenya	-1.2331	-1.3193	36.8742	36.7403	NULL	NULL
48	Gwanak-Gu, Seoul, South Korea	37.467	37.4441	126.948	126.934	NULL	NULL
49	New Zealand	-34.3434	-47.309	178.594	166.333	3754	0
50	Humboldt Co., California, USA	41.4715	40	-123.377	-124.417	2120	0
51	Eureka, Humboldt Co., California, USA	40.8248	40.7453	-124.09	-124.208	15	0
53	Asheville, North Carolina, USA	35.6509	35.5576	-82.4644	-82.632	650	650
55	Foothill Regional Park, Windsor, California, USA	38.5659	38.5555	-122.783	-122.798	NULL	NULL
56	Crane Creek Regional Park, Rohnert Park, California, USA	38.3551	38.338	-122.641	-122.656	NULL	NULL
57	DreamWorks Campus, Glendale, California, USA	34.1587	34.1565	-118.283	-118.288	NULL	NULL
58	Santa Cruz, Santa Cruz Co., California, USA	37.0243	36.9466	-121.987	-122.088	100	0
